Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
716.1927823	5.252557755	1.077117324	0.723711848	-0.051459372	-0.031376295	-1.003712893
716.2545267	-1.095878243	0.106696419	-0.046951663	-0.046080228	-0.036667518	-0.998813212
716.3176045	-0.954366267	0.194880351	-0.075984977	-0.045119453	-0.036345623	-1.000032544
716.3787654	-0.159431577	0.16570358	0.137213349	-0.043916348	-0.036570325	-0.999907911
716.444372	0.014936522	0.258868366	0.081958354	-0.043422122	-0.035979841	-1.000825405
716.507586	0.022327878	0.103399836	-0.013933427	-0.043558024	-0.036293849	-1.001773953
716.5664435	-0.005987857	0.136097178	0.047054756	-0.042252373	-0.036629163	-1.002209425
716.6314557	-0.000697217	-0.02694039	0.019176852	-0.042847436	-0.036973253	-1.000756741
716.691304	-0.0978145	-0.07884258	-0.167887568	-0.043391488	-0.036535896	-1.001633406
716.7544327	-0.005259789	-0.078054659	0.045600861	-0.042644195	-0.036125962	-1.000575304
716.8172457	-0.188263178	-0.047910307	0.07947015	-0.042346798	-0.036310039	-1.000878811
716.8812926	-0.00645949	0.105159655	-0.04549979	-0.043422341	-0.035797071	-1.001394868
716.9432367	-0.098143131	0.135545939	0.045972202	-0.043102019	-0.036034901	-1.000682473
717.0044994	-0.097449996	0.103066966	0.105136707	-0.043882214	-0.036036782	-1.00102675
717.0673053	0.023786798	-0.07841669	0.076798245	-0.043678958	-0.035662383	-1.001174808
717.1309989	0.023918169	0.287450135	0.137432128	-0.042673036	-0.036006562	-1.00143981
717.1920406	0.090178043	0.265400499	-0.135267019	-0.043795489	-0.035124689	-1.000602126
717.2550632	-0.036886998	-0.085809864	0.072754592	-0.043751705	-0.035149749	-1.000543118
717.3177533	-0.189815298	-0.017649313	-0.106904231	-0.043670192	-0.037264045	-1.001440883
717.3787733	0.086569935	-0.077672206	0.015125457	-0.041657548	-0.036779772	-1.000251889
717.4448896	-0.078771509	-0.142223328	-0.199348494	-0.043868534	-0.034312684	-1.000892162
717.5040099	-0.006464604	0.196733654	0.076669179	-0.042774949	-0.037037071	-1.001910686
717.5667179	0.024247168	0.135432005	-0.045603648	-0.042442437	-0.036794189	-1.001041174
717.6288151	0.109866507	0.075470001	0.082175553	-0.044254653	-0.035571076	-1.000956535
717.6917228	-0.098656818	0.251066178	0.106105477	-0.042002656	-0.038454488	-1.000627875
